銘柄名,証券コード,ステータス,買付日,売付日,買付単価,売付単価,買付数量,買付約定代金,売付約定代金,実現損益,増減率
アンフェノール,APH,保有中,2025-11-04,,140.37,,3,421.11,,,
エヌビディア,NVDA,保有中,2025-11-04,,208.175,,2,416.35,,,
アルファベット C,GOOG,保有中,2025-11-07,,285.94,,1,285.94,,,
ブロードコム,AVGO,保有中,2025-11-07,,360.09,,1,360.09,,,
アップル,AAPL,保有中,2025-11-04,,268.265,,1,268.265,,,
アマゾン ドット コム,AMZN,保有中,2025-11-07,,249.15,,2,498.3,,,
