<<<<<<< HEAD
﻿銘柄名,証券コード,ステータス,買付日,売付日,買付単価,売付単価,買付数量,買付約定代金,売付約定代金,実現損益,増減率
ソフトバンクグループ,9984,保有中,2025-11-04,,26859.0,,1,26859,,,
ソフトバンク,9434,保有中,2025-11-04,,217.6,,100,21760,,,
キーエンス,6861,保有中,2025-12-05,,55070.0,,1,55070,,,
=======
銘柄名,証券コード,ステータス,買付日,売付日,買付単価,売付単価,買付数量,買付約定代金,売付約定代金,実現損益,増減率
ソフトバンクグループ,9984,保有中,2025-11-04,,26859.0,,1,26859,,,
ソフトバンク,9434,保有中,2025-11-04,,217.6,,100,21760,,,
キーエンス,6861,保有中,2025-12-05,,55070.0,,1,55070,,,
>>>>>>> cd5807f0f3e22a18f53f91f06e751c34b95b67a6
